Date,Open,High,Low,Close,adjusted_close,Volume,Year,Month,Day
1/4/2016,23.85,23.85,23.24,23.43,22.868193,93200,2016,1,4
1/5/2016,23.42,23.610001,23.07,23.49,22.926754,131100,2016,1,5
1/6/2016,23.25,23.450001,23.17,23.370001,22.809633,51300,2016,1,6
1/7/2016,22.959999,23.209999,22.559999,22.82,22.27282,75600,2016,1,7
1/8/2016,22.91,23.110001,22.42,22.59,22.048336,121000,2016,1,8
1/11/2016,22.67,22.809999,22.35,22.459999,21.921452,90700,2016,1,11
1/12/2016,22.540001,22.76,22.129999,22.58,22.038572,144400,2016,1,12
1/13/2016,22.58,22.76,21.91,22.209999,21.677446,270300,2016,1,13
1/14/2016,22.35,22.629999,21.959999,22.5,21.960491,76500,2016,1,14
1/15/2016,21.99,22.43,21.82,22.200001,21.667685,129400,2016,1,15
1/19/2016,22.450001,22.48,21.700001,21.940001,21.413923,61200,2016,1,19
1/20/2016,21.629999,22.51,21.129999,22.35,21.814089,100100,2016,1,20
1/21/2016,22.34,22.639999,22,22.049999,21.52128,92800,2016,1,21
1/22/2016,22.33,22.52,21.889999,22.120001,21.589602,155400,2016,1,22
1/25/2016,22.08,22.209999,21.83,21.99,21.462719,71900,2016,1,25
1/26/2016,21.99,22.15,21.83,21.99,21.462719,61500,2016,1,26
1/27/2016,21.98,22.32,21.709999,21.91,21.384638,67000,2016,1,27
1/28/2016,22.040001,22.25,21.84,22.08,21.550566,57800,2016,1,28
1/29/2016,22.24,22.43,22,22.190001,21.657927,126200,2016,1,29
2/1/2016,22.309999,22.74,22.129999,22.48,21.940971,93700,2016,2,1
2/2/2016,22.34,22.530001,21.91,22.08,21.550566,150500,2016,2,2
2/3/2016,22.280001,22.280001,21.32,22,21.472483,108500,2016,2,3
2/4/2016,21.940001,22.07,21.200001,21.309999,20.799025,171700,2016,2,4
2/5/2016,21.299999,21.440001,20.82,20.9,20.398859,92900,2016,2,5
2/8/2016,20.73,21.110001,20.25,20.9,20.398859,76800,2016,2,8
2/9/2016,20.780001,21.209999,20.540001,20.66,20.16461,35500,2016,2,9
2/10/2016,20.73,21.08,20.379999,20.42,19.954514,61900,2016,2,10
2/11/2016,20.16,21,19.879999,20.75,20.276993,142600,2016,2,11
2/12/2016,20.82,20.82,20.32,20.41,19.944742,66900,2016,2,12
2/16/2016,20.639999,20.76,20.34,20.6,20.130411,122200,2016,2,16
2/17/2016,20.32,22.25,20.32,20.959999,20.482203,153000,2016,2,17
